layer,ztz,ftf,norm_z,norm_f,norm_z_hat,l_recon,text
3,6405.544,4054.6553,80.034645,63.676174,77.331154,350.35953,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
4,7438.736,4299.4067,86.24811,65.56986,83.36018,694.4695,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
5,7663.906,4617.3745,87.54374,67.95126,83.54369,705.4248,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
6,9455.537,5432.871,97.239586,73.708015,91.4624,1417.5481,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
7,9191.777,5214.933,95.87376,72.21449,88.36755,1407.9163,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
8,13007.38,6597.672,114.049904,81.22605,104.87615,1729.5017,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
9,14252.238,7207.747,119.38274,84.89845,111.10841,1833.345,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
10,17130.064,8799.955,130.88187,93.808075,121.34804,2457.6794,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
11,17377.654,9587.154,131.82433,97.91402,122.040825,2770.8716,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
12,18995.268,11434.826,137.82332,106.93375,121.73549,3677.3606,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
13,22808.504,12458.269,151.02484,111.616615,137.94879,3583.1797,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
14,27814.857,16748.023,166.77786,129.41415,147.11238,4860.466,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
15,30756.182,19302.664,175.3744,138.93402,161.14893,5166.769,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
16,39631.227,26373.48,199.07593,162.39914,186.24884,5309.1035,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
17,55534.04,35124.387,235.65662,187.41501,218.4734,6769.1045,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
18,62423.547,37510.586,249.84705,193.6765,233.94835,6577.9463,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
19,87041.52,50149.793,295.028,223.9415,279.12534,8286.604,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
20,100946.07,62335.523,317.72012,249.67084,307.58008,9060.109,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
21,130649.14,81966.77,361.4542,286.2984,346.65002,12443.76,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
22,181403.44,111410.14,425.91483,333.7816,401.20435,15250.541,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
23,205829.19,158410.56,453.68402,398.00824,430.98242,19046.121,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
24,229331.92,186607.9,478.88614,431.98138,449.57523,23834.418,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
25,409155.03,293906.44,639.6523,542.1314,612.4698,30287.506,"he code pretty tricky.<br><br>So this one wasn't too bad, but I got bogged down trying"
1,3864.434,5710.775,62.164574,75.56967,61.23979,151.76585,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
2,4981.4805,3923.2468,70.579605,62.635826,68.4763,308.38196,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
3,3659.1714,2646.518,60.491085,51.44432,58.22562,284.7579,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
4,4434.2773,3343.0388,66.59037,57.81902,62.30963,501.57452,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
5,4675.931,3314.459,68.38078,57.57134,63.55687,613.4339,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
6,5231.8193,3771.3027,72.331314,61.410934,63.665897,1031.1633,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
7,6584.094,4075.817,81.14243,63.842125,74.747505,792.1559,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
8,7520.8813,5257.932,86.723015,72.5116,79.185196,1081.6251,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
9,9621.6875,6167.9365,98.0902,78.53621,87.072556,1532.6411,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
10,11929.663,7441.322,109.223,86.2631,94.66962,2558.644,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
11,13028.05,8849.373,114.14048,94.071106,100.28776,2874.4048,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
12,16677.084,11584.738,129.13979,107.63242,115.425835,3352.565,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
13,20341.934,12246.287,142.62515,110.66294,131.70143,3540.6724,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
14,29123.566,16685.1,170.65628,129.17082,154.49753,4936.883,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
15,27133.941,18801.111,164.72383,137.11714,150.11891,4701.5522,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
16,28611.105,25720.67,169.14818,160.37665,155.96832,4489.7583,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
17,41191.977,38062.492,202.95807,195.09612,188.73067,5904.3745,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
18,45849.47,37569.05,214.1249,193.82738,195.59436,6807.1235,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
19,58864.062,46489.89,242.61917,215.61514,224.07312,7626.329,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
20,74715.766,53288.094,273.34186,230.84215,254.32355,8997.503,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
21,78929.03,78682.7,280.9431,280.50436,263.695,11140.328,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
22,130937.984,122764.85,361.85355,350.37814,334.96893,16369.936,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
23,185624.28,173708.19,430.84137,416.78314,394.03604,24854.375,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
24,244144.95,233113.28,494.11026,482.81805,453.0995,36819.094,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
25,367905.56,361623.2,606.5522,601.35114,559.69653,48817.09,de vi att dra igång en utredning kring falsklarm i de tre fallen.<br><br>Hur menar du?
1,2165.6091,2437.5244,46.536106,49.371292,46.15644,32.077255, logo is framed by two LEDs. These change color to indicate the battery level of
2,3580.9185,3438.127,59.840775,58.635544,58.990707,118.966965, logo is framed by two LEDs. These change color to indicate the battery level of
3,2746.5457,2631.716,52.407497,51.300255,50.507713,134.77939, logo is framed by two LEDs. These change color to indicate the battery level of
4,4393.358,3269.6084,66.28241,57.18049,62.53266,414.82828, logo is framed by two LEDs. These change color to indicate the battery level of
5,4115.7666,3129.5054,64.15424,55.941982,61.338127,384.21475, logo is framed by two LEDs. These change color to indicate the battery level of
6,6325.9355,3975.9038,79.53575,63.054768,74.80402,587.7042, logo is framed by two LEDs. These change color to indicate the battery level of
7,5730.88,4089.7058,75.702576,63.95081,70.922325,662.76855, logo is framed by two LEDs. These change color to indicate the battery level of
8,8656.013,5457.3496,93.0377,73.87388,88.06456,898.3143, logo is framed by two LEDs. These change color to indicate the battery level of
9,9987.204,5925.619,99.936,76.97804,97.003265,1051.113, logo is framed by two LEDs. These change color to indicate the battery level of
10,13073.801,7282.9106,114.34072,85.33997,107.54136,1567.346, logo is framed by two LEDs. These change color to indicate the battery level of
11,12511.779,8154.6724,111.856064,90.30322,103.16612,2030.0995, logo is framed by two LEDs. These change color to indicate the battery level of
12,15835.77,9837.217,125.840256,99.18275,113.820335,2509.7417, logo is framed by two LEDs. These change color to indicate the battery level of
13,21157.314,11468.705,145.45554,107.09204,135.17697,2987.0112, logo is framed by two LEDs. These change color to indicate the battery level of
14,32686.205,16870.104,180.79326,129.88496,169.4346,4336.9834, logo is framed by two LEDs. These change color to indicate the battery level of
15,42756.652,20863.328,206.77682,144.44144,196.83073,5206.949, logo is framed by two LEDs. These change color to indicate the battery level of
16,42763.203,22711.994,206.79266,150.70499,192.23227,5267.0596, logo is framed by two LEDs. These change color to indicate the battery level of
17,65093.926,34051.375,255.13512,184.53015,241.06323,6753.2944, logo is framed by two LEDs. These change color to indicate the battery level of
18,62148.516,36316.29,249.29604,190.56833,233.99107,7373.968, logo is framed by two LEDs. These change color to indicate the battery level of
19,83008.016,46819.96,288.1111,216.37921,270.87033,8021.6787, logo is framed by two LEDs. These change color to indicate the battery level of
20,83966.08,54360.523,289.769,233.15343,272.92465,8184.5654, logo is framed by two LEDs. These change color to indicate the battery level of
21,107410.56,71289.875,327.7355,267.00165,310.217,12375.9, logo is framed by two LEDs. These change color to indicate the battery level of
22,175644.06,101696.33,419.09912,318.89862,405.18124,15085.133, logo is framed by two LEDs. These change color to indicate the battery level of
23,193533.84,121623.98,439.9248,348.7463,414.87305,22027.252, logo is framed by two LEDs. These change color to indicate the battery level of
24,244122.14,147572.73,494.0872,384.15198,464.32034,27028.752, logo is framed by two LEDs. These change color to indicate the battery level of
25,296071.75,188566.4,544.12476,434.24234,486.0684,38716.938, logo is framed by two LEDs. These change color to indicate the battery level of
1,6558.4873,9858.658,80.98449,99.29078,78.62592,1066.8154,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
2,7338.3564,7639.3613,85.66421,87.40344,80.7055,1346.2579,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
3,9308.297,10532.949,96.479515,102.63016,90.46791,988.1573,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
4,9977.695,6220.583,99.88841,78.870674,94.10812,1340.5796,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
5,8975.526,10787.48,94.73926,103.86279,90.128654,806.15515,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
6,10613.17,6305.1895,103.02024,79.40522,97.26524,1539.9364,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
7,9387.541,5946.5693,96.88932,77.114,87.829445,1432.1934,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
8,11684.967,6925.658,108.09702,83.22054,101.275444,1598.5111,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
9,10968.273,7388.016,104.72952,85.95357,98.770096,1657.95,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
10,12586.707,8089.0776,112.19049,89.9393,104.103455,1998.9878,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
11,15341.408,9553.143,123.860435,97.74018,115.16382,2673.0474,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
12,19061.299,10827.673,138.06267,104.05611,129.37514,3198.3364,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
13,17801.05,12511.021,133.42058,111.85268,123.39079,2990.0676,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
14,23674.441,15524.211,153.865,124.59619,144.54732,3797.3198,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
15,26793.066,19363.799,163.68588,139.15387,157.063,3926.1558,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
16,30108.36,23553.436,173.51761,153.47128,159.91989,4685.703,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
17,39648.53,32815.08,199.11938,181.14932,186.3415,5808.1924,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
18,48426.97,36690.688,220.06128,191.54813,210.19626,5525.2246,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
19,64486.355,49594.086,253.94164,222.6973,236.77919,8827.139,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
20,84111.93,53710.215,290.02057,231.75464,265.04532,11721.619,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
21,107827.01,69377.8,328.37024,263.39667,299.6394,19243.004,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
22,154057.08,88290.73,392.50107,297.13754,357.45587,27958.824,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
23,210096.5,114304.164,458.36285,338.089,418.8185,35720.125,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
24,227560.53,134214.89,477.03305,366.35352,422.6258,47678.4,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
25,320127.56,212922.8,565.79816,461.43558,504.792,59593.09,aight up selling a dildo on a display base.<br><br><br><br>Creators Labo #22: Tsukasa Bullet
1,9486.16,13939.177,97.39692,118.06429,92.588356,801.5891,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
2,10152.693,11765.459,100.760574,108.468704,97.03337,804.23694,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
3,9345.975,7514.376,96.67458,86.6855,93.024414,714.60333,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
4,9481.898,5314.8657,97.37504,72.90312,92.7725,817.67786,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
5,10960.525,6044.4214,104.69253,77.74588,100.81662,832.37823,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
6,11244.012,6649.3135,106.03778,81.54332,100.40168,1084.4512,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
7,13964.28,7603.6064,118.170555,87.19866,111.43231,1234.1211,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
8,16137.344,8069.258,127.032845,89.82905,118.658295,1708.8733,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
9,15893.262,8273.873,126.06848,90.96083,119.31461,1586.76,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
10,18555.973,9937.514,136.2203,99.68708,126.87972,2109.3638,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
11,21725.586,11395.689,147.39601,106.750595,136.54395,2457.6545,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
12,23742.506,13249.236,154.08603,115.10532,141.16447,2742.5967,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
13,28539.371,14530.434,168.936,120.54225,156.4378,3326.322,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
14,35828.656,18598.113,189.28459,136.3749,176.99101,3948.4133,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
15,38555.727,20433.398,196.35612,142.94543,186.5505,4506.2446,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
16,44476.656,25933.586,210.8949,161.03908,198.95203,4805.4316,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
17,55867.54,37341.547,236.36314,193.23961,224.18765,6619.6396,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
18,66990.8,38789.3,258.8258,196.95,244.86807,7572.566,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
19,100194.44,54382.312,316.53503,233.20015,300.0278,8708.201,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
20,100350.41,62573.895,316.7813,250.14775,300.8525,9860.853,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
21,107280.59,76648.17,327.53717,276.85406,316.32834,12436.587,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
22,152238.16,98673.19,390.1771,314.1229,373.9808,16076.082,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
23,164255.78,124757.83,405.28482,353.21075,382.5543,19601.684,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
24,205179.47,157234.69,452.9674,396.5283,430.7044,24452.148,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
25,260794.88,223082.62,510.6808,472.31622,475.88428,33269.98,"sible mode' wasn't very impossible, and people started to catch on,” he recalled"
1,2568.3071,2561.5127,50.678467,50.61139,50.169754,36.224304," transcendence, the everyday self as the perceiver of music may no longer exist,"
2,3405.0815,3197.4705,58.353077,56.54618,57.547714,62.98648," transcendence, the everyday self as the perceiver of music may no longer exist,"
3,2030.9688,2067.392,45.06627,45.468582,44.412674,59.604805," transcendence, the everyday self as the perceiver of music may no longer exist,"
4,2405.6797,2797.7397,49.04773,52.893665,47.20837,132.38779," transcendence, the everyday self as the perceiver of music may no longer exist,"
5,2687.8037,2767.7664,51.844032,52.609566,49.800217,200.33405," transcendence, the everyday self as the perceiver of music may no longer exist,"
6,3963.7046,3403.7886,62.95796,58.341995,59.153835,450.05606," transcendence, the everyday self as the perceiver of music may no longer exist,"
7,3944.5408,3554.5662,62.80558,59.620182,58.545906,443.74615," transcendence, the everyday self as the perceiver of music may no longer exist,"
8,5974.0205,4876.115,77.29179,69.829185,70.857834,820.5459," transcendence, the everyday self as the perceiver of music may no longer exist,"
9,9339.225,5891.6387,96.63966,76.75701,90.68934,1157.1045," transcendence, the everyday self as the perceiver of music may no longer exist,"
10,11947.023,7191.98,109.30244,84.80554,100.86078,1676.7466," transcendence, the everyday self as the perceiver of music may no longer exist,"
11,13540.121,8234.604,116.36202,90.74471,106.4443,2084.7075," transcendence, the everyday self as the perceiver of music may no longer exist,"
12,25121.408,12264.616,158.49734,110.74573,146.22516,3260.5776," transcendence, the everyday self as the perceiver of music may no longer exist,"
13,30148.062,15119.102,173.63197,122.959755,164.65562,3496.0603," transcendence, the everyday self as the perceiver of music may no longer exist,"
14,40048.062,19513.77,200.12012,139.6917,184.04446,5171.9424," transcendence, the everyday self as the perceiver of music may no longer exist,"
15,45318.066,22075.393,212.8804,148.5779,200.1906,5298.4688," transcendence, the everyday self as the perceiver of music may no longer exist,"
16,45043.0,26727.152,212.23337,163.4844,196.95857,5406.294," transcendence, the everyday self as the perceiver of music may no longer exist,"
17,71398.0,38143.258,267.20404,195.303,251.17642,6802.447," transcendence, the everyday self as the perceiver of music may no longer exist,"
18,85649.58,44470.34,292.6595,210.87991,275.14514,7079.38," transcendence, the everyday self as the perceiver of music may no longer exist,"
19,108799.195,57132.242,329.84723,239.02351,315.3639,8323.275," transcendence, the everyday self as the perceiver of music may no longer exist,"
20,118794.305,66430.09,344.6655,257.74036,333.11343,10140.432," transcendence, the everyday self as the perceiver of music may no longer exist,"
21,142275.78,82952.68,377.1946,288.01508,366.80475,12287.807," transcendence, the everyday self as the perceiver of music may no longer exist,"
22,210091.1,108019.555,458.35696,328.6633,441.706,16329.545," transcendence, the everyday self as the perceiver of music may no longer exist,"
23,255865.16,134810.94,505.83115,367.16608,493.7451,22431.336," transcendence, the everyday self as the perceiver of music may no longer exist,"
24,294208.66,168621.4,542.41003,410.63538,525.0393,26911.309," transcendence, the everyday self as the perceiver of music may no longer exist,"
25,308988.6,207759.61,555.86743,455.80655,518.4053,37472.914," transcendence, the everyday self as the perceiver of music may no longer exist,"
1,2728.045,2524.5444,52.23069,50.244846,52.128483,18.981861,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
2,3889.6575,3575.3276,62.36712,59.794044,62.02126,83.117584,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
3,2299.148,2389.1152,47.949432,48.87858,46.926895,80.43393,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
4,2470.115,2789.2441,49.700253,52.813293,48.85687,149.02553,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
5,2437.415,2726.4421,49.370182,52.215343,46.921944,179.26987,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
6,2954.8618,3448.3086,54.358643,58.7223,51.71128,352.62097,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
7,4215.6836,3801.994,64.9283,61.66031,61.683853,390.27237,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
8,8138.184,5102.675,90.21188,71.43301,85.39678,989.96826,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
9,7427.4004,5801.5117,86.182365,76.167656,80.61042,1146.9983,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
10,9951.17,7250.2676,99.755554,85.148506,92.33203,1281.4441,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
11,12451.171,8670.996,111.584816,93.11819,102.94664,1656.6451,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
12,16743.96,10909.943,129.39845,104.450676,118.75786,2672.4883,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
13,17592.102,12562.881,132.63522,112.08426,121.07742,2775.4019,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
14,29455.273,17305.402,171.62538,131.55,154.3153,4211.42,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
15,32785.824,22316.418,181.06856,149.38681,167.9156,4383.3315,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
16,39322.17,25950.164,198.29819,161.09055,189.26031,4591.692,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
17,60925.645,39032.496,246.8312,197.56644,231.1307,7298.495,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
18,57410.516,40707.72,239.60492,201.76154,219.40646,7439.4966,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
19,85931.19,52882.805,293.14023,229.96262,273.7379,8641.061,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
20,82971.95,57834.6,288.04852,240.48825,270.1601,9490.516,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
21,99433.88,68820.31,315.3314,262.33627,297.53955,11673.775,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
22,156167.12,96796.734,395.17987,311.12173,375.64792,13871.659,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
23,209461.38,125574.88,457.6695,354.36548,435.77005,19249.754,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
24,247726.9,153766.86,497.7217,392.13116,476.9423,23888.984,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
25,291455.0,217010.69,539.8657,465.84406,510.31537,31782.21,"North Slope, an area roughly the size of Britain and home to about 9,800 people."
1,6938.8647,15742.684,83.29985,125.46985,81.95022,389.22455,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
2,7164.27,9443.117,84.64201,97.175705,80.6288,661.4476,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
3,8683.723,6803.001,93.18649,82.48031,90.36591,535.4707,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
4,9503.602,5638.554,97.48642,75.09031,92.3653,662.7508,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
5,11114.992,8349.41,105.427666,91.37511,100.4565,762.9359,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
6,9193.705,5113.817,95.88381,71.510956,85.77543,1420.9609,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
7,14081.623,7851.586,118.666016,88.60918,111.99141,1199.4954,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
8,19263.969,10007.067,138.7947,100.03533,131.28345,1601.7911,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
9,24842.309,12481.859,157.61443,111.722244,150.436,1653.5706,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
10,31856.531,15483.959,178.48398,124.434555,169.08482,2318.5845,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
11,33460.47,15747.828,182.92203,125.49035,174.47389,3167.144,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
12,47865.0,23307.871,218.78072,152.66916,209.46513,3549.4043,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
13,36804.938,18174.979,191.84613,134.8146,180.0458,3693.0981,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
14,43610.59,21402.723,208.83148,146.29669,197.21608,4355.7153,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
15,50005.59,26755.623,223.6193,163.57146,209.91653,4615.9434,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
16,68255.14,34334.414,261.25684,185.29547,245.38368,5518.4937,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
17,61996.4,35777.062,248.99075,189.14825,229.43025,7990.1484,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
18,74677.92,43096.746,273.2726,207.59756,251.8155,7716.222,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
19,91997.95,55932.766,303.31165,236.50108,278.3977,10726.998,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
20,122878.266,63979.92,350.53998,252.94252,322.12576,13744.154,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
21,152749.64,79552.06,390.83197,282.04974,356.961,18336.754,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
22,205052.38,106521.41,452.8271,326.37616,421.5325,23969.283,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
23,255605.28,131572.1,505.57422,362.72867,473.52045,30889.314,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
24,317542.47,163532.16,563.5091,404.39108,522.7561,42977.977,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
25,397933.38,205489.84,630.8196,453.30988,581.0811,55788.71,substantial draw within the GOP money crowd.”<br><br>And I’d guess there are a few gay
1,7983.8066,20303.115,89.35215,142.489,89.152664,222.35591,"d award-winning services make LR the perfect place for family occasions, wedding"
2,8408.89,15111.877,91.7,122.930374,89.00183,454.3162,"d award-winning services make LR the perfect place for family occasions, wedding"
3,9155.257,6092.5586,95.683105,78.05484,93.61298,482.08514,"d award-winning services make LR the perfect place for family occasions, wedding"
4,8900.081,5799.536,94.34024,76.154686,91.14861,477.03937,"d award-winning services make LR the perfect place for family occasions, wedding"
5,10833.366,6436.515,104.08346,80.2279,101.89861,449.91315,"d award-winning services make LR the perfect place for family occasions, wedding"
6,9752.814,5873.608,98.75634,76.639465,93.00535,846.26636,"d award-winning services make LR the perfect place for family occasions, wedding"
7,12344.137,7129.6943,111.10417,84.437515,105.732315,967.88617,"d award-winning services make LR the perfect place for family occasions, wedding"
8,16850.6,9299.952,129.80986,96.43626,126.347404,1091.478,"d award-winning services make LR the perfect place for family occasions, wedding"
9,21422.652,10661.158,146.36479,103.252884,143.63458,1304.5582,"d award-winning services make LR the perfect place for family occasions, wedding"
10,22083.254,10977.678,148.60435,104.774414,142.70146,1980.5656,"d award-winning services make LR the perfect place for family occasions, wedding"
11,24015.232,12407.457,154.96849,111.38876,148.6416,2281.38,"d award-winning services make LR the perfect place for family occasions, wedding"
12,28227.238,13731.895,168.00964,117.18317,157.73726,2805.9937,"d award-winning services make LR the perfect place for family occasions, wedding"
13,27501.043,15129.836,165.83438,123.003395,155.1215,3215.2544,"d award-winning services make LR the perfect place for family occasions, wedding"
14,39362.125,19752.023,198.39891,140.54189,188.50948,4322.31,"d award-winning services make LR the perfect place for family occasions, wedding"
15,38229.633,21744.824,195.524,147.46126,182.36093,4572.358,"d award-winning services make LR the perfect place for family occasions, wedding"
16,57821.086,30744.555,240.46016,175.34125,229.14058,4759.3438,"d award-winning services make LR the perfect place for family occasions, wedding"
